Id,Title,Year,Url
CAVC-90-0022,Gilbert v. Derwinski,1990,https://www.uscourts.cavc.gov/documents/Gilbert_90-22.pdf
CAVC-95-0046,Caluza v. Brown,1995,https://www.uscourts.cavc.gov/documents/Caluza_94-46.pdf
CAVC-96-0324,DeLuca v. Brown,1995,https://www.uscourts.cavc.gov/documents/DeLuca_94-324.pdf
CAVC-11-2704,Jones v. Shinseki,2010,https://www.uscourts.cavc.gov/documents/Jones_07-3060.pdf
CAVC-15-3238,Ray v. Wilkie,2019,https://www.uscourts.cavc.gov/documents/Ray_15-0788.pdf
CAVC-15-2424,Bankhead v. Shulkin,2017,https://www.uscourts.cavc.gov/documents/Bankhead_15-2404.pdf
CAVC-14-3611,Sharp v. Shulkin,2017,https://www.uscourts.cavc.gov/documents/Sharp_14-3611.pdf
CAVC-15-3439,Cantrell v. Shulkin,2017,https://www.uscourts.cavc.gov/documents/Cantrell_15-3439.pdf
CAVC-15-0649,Saunders v. Wilkie,2018,https://www.uscourts.cavc.gov/documents/Saunders_15-0649.pdf
CAVC-23-1798,Ingram v. Collins,2025,https://www.uscourts.cavc.gov/documents/Ingram_23-1798.pdf
