Id,Url,Title,Category,Keywords,Description,Eligibility,FilePath,Timestamp
1,https://www.va.gov/disability/,Disability Compensation,Compensation,"disability,compensation,service-connected,rating",Tax-free monthly payment for disabilities connected to military service,Veterans with service-connected disabilities,knowledge/VAknow/pages/disability-compensation.md,2026-03-02T12:00:00Z
2,https://www.va.gov/pension/,Veterans Pension,Pension,"pension,low-income,elderly,wartime",Monthly benefit for wartime veterans with limited income,Wartime veterans age 65+ or permanently disabled,knowledge/VAknow/pages/veterans-pension.md,2026-03-02T12:00:00Z
3,https://www.va.gov/health-care/,VA Health Care,Healthcare,"healthcare,medical,tricare,priority-groups",Comprehensive healthcare services through VA medical centers,All veterans with qualifying service,knowledge/VAknow/pages/va-healthcare.md,2026-03-02T12:00:00Z
4,https://www.va.gov/education/,GI Bill Education Benefits,Education,"gi-bill,education,tuition,post-911,montgomery",Education and training benefits including tuition and housing,Veterans with qualifying service,knowledge/VAknow/pages/gi-bill.md,2026-03-02T12:00:00Z
5,https://www.va.gov/housing-assistance/,VA Home Loan,Housing,"home-loan,mortgage,coe,certificate-of-eligibility",Zero down payment home loans with competitive rates,Veterans with qualifying service,knowledge/VAknow/pages/va-home-loan.md,2026-03-02T12:00:00Z
6,https://www.va.gov/life-insurance/,Veterans Life Insurance,Insurance,"life-insurance,vgli,sgli,s-dvi",Affordable life insurance options for veterans,Service members and veterans,knowledge/VAknow/pages/life-insurance.md,2026-03-02T12:00:00Z
7,https://www.va.gov/careers-employment/vocational-rehabilitation/,VR&E (Chapter 31),Employment,"vr&e,vocational-rehab,chapter-31,employment",Job training and employment services for disabled veterans,Veterans with 10%+ disability rating,knowledge/VAknow/pages/vre-chapter-31.md,2026-03-02T12:00:00Z
8,https://www.va.gov/burials-memorials/,Burial Benefits,Burial,"burial,cemetery,headstone,flag,memorial",Burial in national cemetery and memorial benefits,All eligible veterans and family members,knowledge/VAknow/pages/burial-benefits.md,2026-03-02T12:00:00Z
9,https://www.va.gov/family-member-benefits/,Survivors and Dependents Benefits,Dependents,"dic,survivors,dependents,chapter-35,dea",Benefits for surviving spouses children and dependents,Family members of deceased or disabled veterans,knowledge/VAknow/pages/survivors-benefits.md,2026-03-02T12:00:00Z
10,https://www.va.gov/service-member-benefits/,Active Duty and Reserve Benefits,Military,"active-duty,reserve,guard,transition,pre-discharge",Benefits available while still serving or transitioning,Active service members and reserves,knowledge/VAknow/pages/active-duty-benefits.md,2026-03-02T12:00:00Z
11,https://www.va.gov/disability/about-disability-ratings/,Disability Ratings,Compensation,"rating,percentage,combined-rating,scheduler",How VA assigns disability ratings from 0% to 100%,Veterans filing disability claims,knowledge/VAknow/pages/disability-ratings.md,2026-03-02T12:00:00Z
12,https://www.va.gov/disability/eligibility/special-claims/,Special Claims,Claims,"special-claims,presumptive,agent-orange,gulf-war,pact-act",Special disability claims for toxic exposure,Veterans with specific exposures,knowledge/VAknow/pages/presumptive-claims.md,2026-03-02T12:00:00Z
13,https://www.va.gov/disability/dependency-indemnity-compensation/,DIC - Dependency Indemnity Compensation,Survivors,"dic,death-compensation,survivors,spouse,children",Monthly benefit for survivors of deceased service members,Surviving family members,knowledge/VAknow/pages/dic.md,2026-03-02T12:00:00Z
14,https://www.va.gov/health-care/about-va-health-benefits/,Priority Groups,Healthcare,"priority-group,enrollment,eligibility,means-test",8 priority groups that determine VA healthcare eligibility,All veterans seeking VA healthcare,knowledge/VAknow/pages/priority-groups.md,2026-03-02T12:00:00Z
15,https://www.va.gov/health-care/copay-rates/,Healthcare Copays,Healthcare,"copay,cost,medication,outpatient,inpatient",Copayment requirements for VA healthcare services,VA healthcare enrollees,knowledge/VAknow/pages/copays.md,2026-03-02T12:00:00Z
16,https://www.va.gov/disability/how-to-file-claim/,How to File a Disability Claim,Claims,"claim,filing,va-form-21-526ez,ebenfits,va.gov",Step-by-step guide to filing VA disability compensation,Veterans with service-connected conditions,knowledge/VAknow/pages/file-disability-claim.md,2026-03-02T12:00:00Z
17,https://www.va.gov/decision-reviews/,Decision Reviews,Appeals,"appeals,hlr,supplemental-claim,board-appeal,notice-of-disagreement",Options for appealing VA claim decisions,Veterans who disagree with decisions,knowledge/VAknow/pages/decision-reviews.md,2026-03-02T12:00:00Z
18,https://www.va.gov/records/get-military-service-records/,Military Records,Records,"dd-214,service-records,discharge-papers,nprc",How to obtain DD-214 and military service records,All veterans,knowledge/VAknow/pages/military-records.md,2026-03-02T12:00:00Z
19,https://www.va.gov/service-member-benefits/pre-discharge-program/,Benefits Delivery at Discharge,Claims,"bdd,pre-discharge,quick-claim,transitioning",File disability claim 90-180 days before discharge,Separating service members,knowledge/VAknow/pages/bdd-program.md,2026-03-02T12:00:00Z
20,https://www.va.gov/disability/eligibility/former-pows/,Former POW Benefits,Special,"pow,prisoner-of-war,presumptive,special-monthly-compensation",Enhanced benefits for former prisoners of war,Former prisoners of war,knowledge/VAknow/pages/pow-benefits.md,2026-03-02T12:00:00Z
21,https://www.va.gov/homeless/,Homeless Veterans Services,Support,"homeless,hud-vash,ssvf,grant-per-diem,housing",Services and housing assistance for homeless veterans,Homeless or at-risk veterans,knowledge/VAknow/pages/homeless-services.md,2026-03-02T12:00:00Z
22,https://www.va.gov/health-care/health-needs-conditions/mental-health/,Mental Health Services,Healthcare,"mental-health,ptsd,depression,anxiety,suicide-prevention",Mental health and PTSD treatment services,All veterans,knowledge/VAknow/pages/mental-health.md,2026-03-02T12:00:00Z
23,https://www.va.gov/disability/about-disability-ratings/after-you-get-a-rating/,After You Get a Rating,Compensation,"effective-date,back-pay,payment,direct-deposit",What happens after VA assigns your disability rating,Veterans with rating decisions,knowledge/VAknow/pages/after-rating.md,2026-03-02T12:00:00Z
24,https://www.va.gov/disability/va-claim-exam/,VA Claim Exams,Claims,"cp-exam,compensation-and-pension,dbt,lhi,ves,qfc",What to expect during VA compensation and pension exams,Veterans undergoing claim evaluation,knowledge/VAknow/pages/cp-exam.md,2026-03-02T12:00:00Z
25,https://www.va.gov/disability/add-remove-dependent/,Add or Remove Dependents,Compensation,"dependents,spouse,children,additional-benefits,va-form-21-686c",How to add dependents to increase disability pay,Veterans with dependents,knowledge/VAknow/pages/dependents.md,2026-03-02T12:00:00Z
26,https://www.va.gov/disability/dependency-indemnity-compensation/,SMC - Special Monthly Compensation,Compensation,"smc,housebound,aid-and-attendance,loss-of-limb",Additional compensation for severe disabilities,Veterans with specific severe disabilities,knowledge/VAknow/pages/smc.md,2026-03-02T12:00:00Z
27,https://www.va.gov/resources/the-pact-act-and-your-va-benefits/,PACT Act Benefits,Special,"pact-act,toxic-exposure,burn-pits,agent-orange,presumptive",Expanded benefits for toxic exposure,Veterans with qualifying exposures,knowledge/VAknow/pages/pact-act.md,2026-03-02T12:00:00Z
28,https://www.va.gov/disability/eligibility/hazardous-materials-exposure/agent-orange/,Agent Orange Benefits,Presumptive,"agent-orange,vietnam,dmz,thailand,herbicide",Presumptive service connection for Agent Orange,Vietnam-era veterans,knowledge/VAknow/pages/agent-orange.md,2026-03-02T12:00:00Z
29,https://www.va.gov/disability/eligibility/hazardous-materials-exposure/gulf-war-illness/,Gulf War Illness,Presumptive,"gulf-war,chronic-multisymptom,medically-unexplained,southwest-asia",Benefits for medically unexplained chronic symptoms,Gulf War veterans,knowledge/VAknow/pages/gulf-war-illness.md,2026-03-02T12:00:00Z
30,https://www.va.gov/disability/eligibility/hazardous-materials-exposure/camp-lejeune-water-contamination/,Camp Lejeune Water Contamination,Presumptive,"camp-lejeune,water-contamination,toxic-exposure,north-carolina",Benefits for Camp Lejeune water contamination exposure,Camp Lejeune residents 1953-1987,knowledge/VAknow/pages/camp-lejeune.md,2026-03-02T12:00:00Z
31,https://www.va.gov/education/about-gi-bill-benefits/post-9-11/,Post-9/11 GI Bill,Education,"post-911,chapter-33,bah,tuition,yellow-ribbon",Full tuition plus housing allowance for post-9/11 service,Post-9/11 era veterans,knowledge/VAknow/pages/post-911-gi-bill.md,2026-03-02T12:00:00Z
32,https://www.va.gov/education/transfer-post-9-11-gi-bill-benefits/,Transfer GI Bill,Education,"transfer,dependents,post-911,family,spouse-children",Transfer GI Bill benefits to family members,Service members with qualifying service,knowledge/VAknow/pages/transfer-gi-bill.md,2026-03-02T12:00:00Z
33,https://www.va.gov/careers-employment/veteran-owned-business-support/,Veteran-Owned Small Business,Employment,"vosb,sdvosb,veteran-owned,small-business,contracting",Support and certification for veteran businesses,Veteran business owners,knowledge/VAknow/pages/veteran-business.md,2026-03-02T12:00:00Z
34,https://www.va.gov/housing-assistance/home-loans/loan-types/,VA Loan Types,Housing,"purchase,refinance,irrrl,cash-out,native-american-direct-loan",Different types of VA home loans available,Veterans with VA eligibility,knowledge/VAknow/pages/va-loan-types.md,2026-03-02T12:00:00Z
35,https://www.va.gov/housing-assistance/disability-housing-grants/,Adapted Housing Grants,Housing,"sah,sha,hisa,adapted-housing,wheelchair,disability",Grants to adapt homes for disabilities,Veterans with severe disabilities,knowledge/VAknow/pages/adapted-housing.md,2026-03-02T12:00:00Z
36,https://www.va.gov/pension/aid-attendance-housebound/,Aid and Attendance,Pension,"aid-and-attendance,housebound,pension-increase,daily-living",Additional pension payment for care needs,Pension-eligible veterans needing assistance,knowledge/VAknow/pages/aid-attendance.md,2026-03-02T12:00:00Z
37,https://www.va.gov/health-care/eligibility/priority-groups/,CHAMPVA,Healthcare,"champva,civilian-health,family-healthcare,dependents",Healthcare program for family members,Dependents of certain veterans,knowledge/VAknow/pages/champva.md,2026-03-02T12:00:00Z
38,https://www.va.gov/service-member-benefits/transition-assistance/,Transition Assistance Program,Transition,"tap,taps,sfl-tap,transition,pre-separation,job-search",Transition services for separating service members,Separating service members,knowledge/VAknow/pages/tap.md,2026-03-02T12:00:00Z
39,https://www.va.gov/disability/upload-supporting-evidence/,Evidence for Claims,Claims,"evidence,medical-records,nexus,buddy-statement,lay-evidence",How to submit supporting evidence for claims,Veterans with pending claims,knowledge/VAknow/pages/claim-evidence.md,2026-03-02T12:00:00Z
40,https://www.va.gov/disability/eligibility/ptsd/,PTSD Claims,Mental Health,"ptsd,post-traumatic-stress,combat,mst,stressor,mental-health",How to file claims for PTSD,Veterans with PTSD,knowledge/VAknow/pages/ptsd-claims.md,2026-03-02T12:00:00Z
41,https://www.va.gov/careers-employment/veteran-employment-services/,Employment Services,Employment,"employment,job-search,resume,interview,career-counseling",Job search and career services,All veterans,knowledge/VAknow/pages/employment-services.md,2026-03-02T12:00:00Z
42,https://www.va.gov/health-care/family-caregiver-benefits/,Caregiver Program,Support,"caregiver,family,pcafc,stipend,assistance",Support and stipend for family caregivers,Caregivers of disabled veterans,knowledge/VAknow/pages/caregiver-program.md,2026-03-02T12:00:00Z
43,https://www.va.gov/disability/how-to-file-claim/when-to-file/pre-discharge-claim/,Intent to File,Claims,"intent-to-file,effective-date,va-form-21-0966,reservation",Reserve your effective date before filing,Veterans planning to file,knowledge/VAknow/pages/intent-to-file.md,2026-03-02T12:00:00Z
44,https://www.va.gov/burials-memorials/pre-need-eligibility/,Pre-Need Burial Eligibility,Burial,"pre-need,burial-eligibility,cemetery,planning",Determine burial eligibility in advance,Veterans planning ahead,knowledge/VAknow/pages/pre-need-burial.md,2026-03-02T12:00:00Z
45,https://www.va.gov/pension/survivors-pension/,Survivors Pension,Survivors,"survivors-pension,dic,death-pension,non-service-connected",Pension for surviving spouses of wartime veterans,Low-income surviving spouses,knowledge/VAknow/pages/survivors-pension.md,2026-03-02T12:00:00Z
46,https://www.va.gov/health-care/refill-track-prescriptions/,Prescription Refills,Healthcare,"prescriptions,medications,refill,mail-order,rx",How to refill VA prescriptions,VA healthcare enrollees,knowledge/VAknow/pages/prescriptions.md,2026-03-02T12:00:00Z
47,https://www.va.gov/health-care/schedule-view-va-appointments/,VA Appointments,Healthcare,"appointments,scheduling,telehealth,video-visit,clinic",Schedule and manage VA medical appointments,VA healthcare enrollees,knowledge/VAknow/pages/appointments.md,2026-03-02T12:00:00Z
48,https://www.va.gov/records/get-veteran-id-cards/,Veteran ID Cards,Records,"vic,veteran-id-card,vhic,identification,proof-of-service",Various ID cards available to veterans,All veterans,knowledge/VAknow/pages/veteran-id-cards.md,2026-03-02T12:00:00Z
49,https://www.va.gov/coronavirus-veteran-frequently-asked-questions/,COVID-19 Veteran Resources,Healthcare,"covid-19,coronavirus,vaccine,pandemic,telehealth",COVID-19 related resources and information,All veterans,knowledge/VAknow/pages/covid-resources.md,2026-03-02T12:00:00Z
50,https://www.va.gov/disability/compensation-rates/veteran-rates/,Compensation Rate Tables,Compensation,"rate-table,payment-amount,2026,cola,disability-pay",Current disability compensation payment rates,Veterans receiving compensation,knowledge/VAknow/pages/compensation-rates.md,2026-03-02T12:00:00Z
